DELAY=0
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.051010400E-2,3.120000076E1,-1.831875038E1,-4.208062744E2,4.223587779E2
5.051010400E-2,3.178125191E1,-1.890000153E1,-4.214437561E2,4.230627585E2
6.051010400E-2,3.135000038E1,-1.959375000E1,-4.214062805E2,4.230248111E2
7.051010400E-2,3.099375153E1,-1.981875038E1,-4.220437622E2,4.236441109E2
8.051010400E-2,3.105000114E1,-1.989375114E1,-4.219875183E2,4.235957147E2
9.051010400E-2,3.090000153E1,-1.993125153E1,-4.223437805E2,4.239414274E2
1.005101040E-1,3.067500114E1,-1.980000114E1,-4.225500183E2,4.241244083E2
1.105101040E-1,3.060000038E1,-1.978125000E1,-4.225687561E2,4.241367840E2
1.205101040E-1,3.046875191E1,-1.995000076E1,-4.228125305E2,4.243781136E2
1.305101040E-1,3.009375191E1,-1.996875000E1,-4.229250183E2,4.244643165E2
1.405101040E-1,3.030000114E1,-1.976250076E1,-4.231875305E2,4.247308942E2
1.505101040E-1,3.046875191E1,-1.959375000E1,-4.231312561E2,4.246790786E2
1.605101040E-1,3.028125191E1,-1.923750114E1,-4.233750305E2,4.248922830E2
1.705101040E-1,3.015000153E1,-1.895625114E1,-4.231875305E2,4.246834681E2
1.805101040E-1,3.009375191E1,-1.891875076E1,-4.231125183E2,4.246030572E2
1.905101040E-1,2.990625191E1,-1.888125038E1,-4.231875305E2,4.246628916E2
2.005101040E-1,2.996250153E1,-1.882500076E1,-4.233375244E2,4.248138318E2
2.105101040E-1,3.018750191E1,-1.860000038E1,-4.234500122E2,4.249319453E2
2.205101040E-1,2.996250153E1,-1.846875000E1,-4.235437622E2,4.250037232E2
2.305101040E-1,2.986875153E1,-1.841250038E1,-4.236000061E2,4.250507354E2
2.405101040E-1,2.977500153E1,-1.856250000E1,-4.233562622E2,4.248077705E2
2.505101040E-1,2.988750076E1,-1.863750076E1,-4.234125061E2,4.248750045E2
2.605101040E-1,3.007500076E1,-1.871250153E1,-4.238062744E2,4.252839306E2
2.705101040E-1,3.003750038E1,-1.852500153E1,-4.237687683E2,4.252356948E2
2.805101040E-1,2.971875191E1,-1.850625038E1,-4.237500305E2,4.251938074E2
2.905101040E-1,2.953125191E1,-1.876875114E1,-4.237875061E2,4.252295982E2
3.005101040E-1,2.962500191E1,-1.880625153E1,-4.236937561E2,4.251443458E2
3.105101040E-1,2.945625114E1,-1.891875076E1,-4.235437622E2,4.249881273E2
3.205101040E-1,2.945625114E1,-1.912500000E1,-4.240875244E2,4.255392634E2
3.305101040E-1,2.932500076E1,-1.916250038E1,-4.241250305E2,4.255692642E2
3.405101040E-1,2.898750114E1,-1.906875038E1,-4.237312622E2,4.251494738E2
3.505101040E-1,2.915625191E1,-1.910625076E1,-4.238812561E2,4.253121855E2
3.605101040E-1,2.926875114E1,-1.906875038E1,-4.237500305E2,4.251874474E2
3.705101040E-1,2.910000038E1,-1.891875076E1,-4.238437805E2,4.252626006E2
3.805101040E-1,2.887500191E1,-1.895625114E1,-4.239562683E2,4.253610497E2
3.905101040E-1,2.889375114E1,-1.897500038E1,-4.240500183E2,4.254565989E2
4.005101040E-1,2.893125153E1,-1.906875038E1,-4.237875061E2,4.252016991E2
4.105101040E-1,2.904375076E1,-1.927500153E1,-4.238437805E2,4.252747529E2
4.205101040E-1,2.928750038E1,-1.938750076E1,-4.239187622E2,4.253713082E2
4.305101040E-1,2.936250114E1,-1.961250114E1,-4.238062744E2,4.252746935E2
4.405101040E-1,2.932500076E1,-1.972500038E1,-4.238250122E2,4.252959820E2
4.505101040E-1,2.956875038E1,-1.974375153E1,-4.236187744E2,4.251082130E2
4.605101040E-1,2.968125153E1,-2.002500153E1,-4.234875183E2,4.249984183E2
4.705101040E-1,2.977500153E1,-2.000625038E1,-4.235812683E2,4.250975084E2
4.805101040E-1,2.986875153E1,-1.983750153E1,-4.233562622E2,4.248719731E2
4.905101040E-1,3.005625153E1,-1.970625114E1,-4.232437744E2,4.247670034E2
5.005101040E-1,3.016875076E1,-1.976250076E1,-4.233000183E2,4.248336327E2
5.105101040E-1,3.020625114E1,-1.963125038E1,-4.232625122E2,4.247928411E2
5.205101040E-1,3.054375076E1,-1.974375153E1,-4.233750305E2,4.249342925E2
5.305101040E-1,3.082500076E1,-1.998750114E1,-4.234500122E2,4.250406965E2
5.405101040E-1,3.086250114E1,-1.998750114E1,-4.235812683E2,4.251741820E2
5.505101040E-1,3.108750153E1,-2.008125114E1,-4.234875183E2,4.251015968E2
5.605101040E-1,3.121875191E1,-2.008125114E1,-4.236187744E2,4.252419701E2
5.705101040E-1,3.131250191E1,-2.010000038E1,-4.237687683E2,4.253991676E2
5.805101040E-1,3.121875191E1,-2.023125076E1,-4.236000061E2,4.252303836E2
5.905101040E-1,3.133125114E1,-2.041875076E1,-4.236750183E2,4.253223411E2
6.005101040E-1,3.142500114E1,-2.019375038E1,-4.236000061E2,4.252437929E2
6.105101040E-1,3.136875153E1,-2.030625153E1,-4.236187744E2,4.252636929E2
6.205101040E-1,3.155625153E1,-2.025000000E1,-4.235812683E2,4.252375223E2
6.305101040E-1,3.161250114E1,-2.026875114E1,-4.235250244E2,4.251865694E2
6.405101040E-1,3.178125191E1,-2.030625153E1,-4.235250244E2,4.252009385E2
6.505101040E-1,3.178125191E1,-2.030625153E1,-4.233187561E2,4.249954836E2
6.605101040E-1,3.206250000E1,-2.019375038E1,-4.233750305E2,4.250672981E2
6.705101040E-1,3.211875153E1,-2.015625000E1,-4.233750305E2,4.250697650E2
6.805101040E-1,3.211875153E1,-2.038125038E1,-4.233375244E2,4.250431380E2
6.905101040E-1,3.193125153E1,-2.025000000E1,-4.233375244E2,4.250227369E2
7.005101040E-1,3.198750114E1,-2.013750076E1,-4.233562622E2,4.250402851E2
7.105101040E-1,3.198750114E1,-1.995000076E1,-4.233562622E2,4.250314430E2
7.205101040E-1,3.204375076E1,-2.006250000E1,-4.231125183E2,4.247981980E2
7.305101040E-1,3.206250000E1,-2.023125076E1,-4.230750122E2,4.247702595E2
7.405101040E-1,3.213750076E1,-2.025000000E1,-4.231500244E2,4.248515324E2
7.505101040E-1,3.225000000E1,-2.023125076E1,-4.232250061E2,4.249338440E2
7.605101040E-1,3.226875305E1,-2.017500114E1,-4.232062683E2,4.249139309E2
7.705101040E-1,3.236250305E1,-2.017500114E1,-4.230750122E2,4.247903344E2
7.805101040E-1,3.219375229E1,-2.017500114E1,-4.231687622E2,4.248708859E2
