DELAY=-3
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.110692700E-2,1.809375000E1,-1.321875095E1,-1.681687622E2,1.696550964E2
4.110692700E-2,1.899375153E1,-1.372500038E1,-1.691062622E2,1.707221900E2
5.110692700E-2,1.875000000E1,-1.368750095E1,-1.696687622E2,1.712495228E2
6.110692700E-2,1.850625038E1,-1.372500038E1,-1.699312592E2,1.714861212E2
7.110692700E-2,1.854375076E1,-1.365000057E1,-1.700437622E2,1.715956709E2
8.110692700E-2,1.852500153E1,-1.357500076E1,-1.700437622E2,1.715876959E2
9.110692700E-2,1.831875038E1,-1.368750095E1,-1.699875031E2,1.715187322E2
1.011069270E-1,1.818750000E1,-1.378125095E1,-1.699687500E2,1.714936850E2
1.111069270E-1,1.828125000E1,-1.381875038E1,-1.700062561E2,1.715438401E2
1.211069270E-1,1.807500076E1,-1.378125095E1,-1.701562500E2,1.716676380E2
1.311069270E-1,1.801875114E1,-1.376250076E1,-1.701375122E2,1.716416467E2
1.411069270E-1,1.813125038E1,-1.378125095E1,-1.703062592E2,1.718222542E2
1.511069270E-1,1.800000000E1,-1.402500057E1,-1.703437500E2,1.718653363E2
1.611069270E-1,1.792500114E1,-1.421250057E1,-1.704187622E2,1.719472458E2
1.711069270E-1,1.773750114E1,-1.434375095E1,-1.703812561E2,1.719015258E2
1.811069270E-1,1.783125114E1,-1.432500076E1,-1.705687561E2,1.720954959E2
1.911069270E-1,1.770000076E1,-1.432500076E1,-1.708875122E2,1.723979046E2
2.011069270E-1,1.756875038E1,-1.432500076E1,-1.707000122E2,1.721986086E2
2.111069270E-1,1.749375153E1,-1.445625019E1,-1.707562561E2,1.722576951E2
2.211069270E-1,1.740000153E1,-1.455000019E1,-1.705687561E2,1.720702273E2
2.311069270E-1,1.755000114E1,-1.438125038E1,-1.705500031E2,1.720526851E2
2.411069270E-1,1.762500000E1,-1.432500076E1,-1.704187622E2,1.719255676E2
2.511069270E-1,1.792500114E1,-1.410000038E1,-1.705125122E2,1.720309056E2
2.611069270E-1,1.794375038E1,-1.415625095E1,-1.703437500E2,1.718702149E2
2.711069270E-1,1.796250153E1,-1.438125038E1,-1.702125092E2,1.717607932E2
2.811069270E-1,1.803750038E1,-1.445625019E1,-1.702875061E2,1.718492634E2
2.911069270E-1,1.809375000E1,-1.455000019E1,-1.700625000E2,1.716401474E2
3.011069270E-1,1.815000153E1,-1.453125095E1,-1.701375122E2,1.717188192E2
3.111069270E-1,1.805625153E1,-1.466250038E1,-1.700062561E2,1.715900471E2
3.211069270E-1,1.800000000E1,-1.471875095E1,-1.702312622E2,1.718118863E2
3.311069270E-1,1.773750114E1,-1.471875095E1,-1.702687531E2,1.718217357E2
3.411069270E-1,1.758750153E1,-1.471875095E1,-1.703062592E2,1.718434862E2
3.511069270E-1,1.755000114E1,-1.458750057E1,-1.702500000E2,1.717726993E2
3.611069270E-1,1.753125000E1,-1.456875038E1,-1.702125092E2,1.717320340E2
3.711069270E-1,1.766250038E1,-1.460625076E1,-1.704562531E2,1.719902343E2
3.811069270E-1,1.760625076E1,-1.449375057E1,-1.704750061E2,1.719935364E2
3.911069270E-1,1.762500000E1,-1.441875076E1,-1.707562561E2,1.722679308E2
4.011069270E-1,1.768125153E1,-1.449375057E1,-1.706437531E2,1.721684812E2
4.111069270E-1,1.794375038E1,-1.462500095E1,-1.705500031E2,1.721138355E2
4.211069270E-1,1.826250076E1,-1.447500038E1,-1.703625031E2,1.719489082E2
4.311069270E-1,1.805625153E1,-1.449375057E1,-1.704937592E2,1.720587659E2
4.411069270E-1,1.824375153E1,-1.447500038E1,-1.704750061E2,1.720583849E2
4.511069270E-1,1.818750000E1,-1.447500038E1,-1.703625031E2,1.719409586E2
4.611069270E-1,1.807500076E1,-1.455000019E1,-1.702500000E2,1.718239525E2
4.711069270E-1,1.798125076E1,-1.447500038E1,-1.701000061E2,1.716591480E2
4.811069270E-1,1.796250153E1,-1.436250019E1,-1.701187592E2,1.716663190E2
4.911069270E-1,1.803750038E1,-1.426875019E1,-1.700437622E2,1.715920444E2
5.011069270E-1,1.781250000E1,-1.434375095E1,-1.702687531E2,1.717977783E2
5.111069270E-1,1.792500114E1,-1.455000019E1,-1.701562500E2,1.717153388E2
5.211069270E-1,1.764375114E1,-1.460625076E1,-1.700437622E2,1.715795022E2
5.311069270E-1,1.768125153E1,-1.455000019E1,-1.700625000E2,1.715971534E2
5.411069270E-1,1.777500153E1,-1.458750057E1,-1.699687500E2,1.715171182E2
5.511069270E-1,1.781250000E1,-1.458750057E1,-1.699312592E2,1.714838569E2
5.611069270E-1,1.781250000E1,-1.441875076E1,-1.698937531E2,1.714324148E2
5.711069270E-1,1.775625038E1,-1.447500038E1,-1.701562500E2,1.716914659E2
5.811069270E-1,1.788750076E1,-1.453125095E1,-1.700625000E2,1.716169393E2
5.911069270E-1,1.822500038E1,-1.436250019E1,-1.700812531E2,1.716568224E2
6.011069270E-1,1.843125153E1,-1.443750095E1,-1.702687531E2,1.718708839E2
6.111069270E-1,1.828125000E1,-1.434375095E1,-1.699687500E2,1.715497691E2
6.211069270E-1,1.867500114E1,-1.447500038E1,-1.703437500E2,1.719746332E2
6.311069270E-1,1.867500114E1,-1.451250076E1,-1.704000092E2,1.720335184E2
6.411069270E-1,1.876875114E1,-1.471875095E1,-1.702687531E2,1.719312535E2
6.511069270E-1,1.878750038E1,-1.483125019E1,-1.701562500E2,1.718315616E2
6.611069270E-1,1.875000000E1,-1.481250095E1,-1.701375122E2,1.718072925E2
6.711069270E-1,1.845000076E1,-1.466250038E1,-1.701187592E2,1.717433657E2
6.811069270E-1,1.843125153E1,-1.477500057E1,-1.701375122E2,1.717695687E2
6.911069270E-1,1.846875000E1,-1.492500019E1,-1.703062592E2,1.719536922E2
7.011069270E-1,1.833750153E1,-1.460625076E1,-1.700437622E2,1.716522286E2
7.111069270E-1,1.852500153E1,-1.447500038E1,-1.700437622E2,1.716612431E2
7.211069270E-1,1.856250000E1,-1.438125038E1,-1.704187622E2,1.720288966E2
7.311069270E-1,1.856250000E1,-1.425000095E1,-1.706625061E2,1.722594552E2
7.411069270E-1,1.848750114E1,-1.425000095E1,-1.706625061E2,1.722513896E2
7.511069270E-1,1.871250153E1,-1.449375057E1,-1.708875122E2,1.725188927E2
7.611069270E-1,1.854375076E1,-1.438125038E1,-1.706250000E2,1.722311867E2
7.711069270E-1,1.837500000E1,-1.425000095E1,-1.706625061E2,1.722393513E2
7.811069270E-1,1.833750153E1,-1.443750095E1,-1.704000092E2,1.719908966E2
7.911069270E-1,1.820625114E1,-1.453125095E1,-1.703437500E2,1.719291075E2
8.011069270E-1,1.805625153E1,-1.456875038E1,-1.701000061E2,1.716749509E2
8.111069270E-1,1.792500114E1,-1.456875038E1,-1.699687500E2,1.715311346E2
8.211069270E-1,1.818750000E1,-1.468125057E1,-1.699312592E2,1.715312132E2
8.311069270E-1,1.800000000E1,-1.466250038E1,-1.699125061E2,1.714912495E2
8.411069270E-1,1.818750000E1,-1.458750057E1,-1.700812531E2,1.716718176E2
8.511069270E-1,1.843125153E1,-1.451250076E1,-1.702312622E2,1.718400604E2
8.611069270E-1,1.839375114E1,-1.438125038E1,-1.704000092E2,1.719921904E2
8.711069270E-1,1.830000114E1,-1.449375057E1,-1.703250122E2,1.719173308E2
8.811069270E-1,1.828125000E1,-1.445625019E1,-1.701750031E2,1.717635553E2
8.911069270E-1,1.837500000E1,-1.440000057E1,-1.701187592E2,1.717131121E2
9.011069270E-1,1.828125000E1,-1.438125038E1,-1.702312622E2,1.718130004E2
9.111069270E-1,1.833750153E1,-1.417500019E1,-1.701562500E2,1.717275284E2
9.211069270E-1,1.848750114E1,-1.426875019E1,-1.701562500E2,1.717513736E2
9.311069270E-1,1.830000114E1,-1.419375038E1,-1.700812531E2,1.716507653E2
9.411069270E-1,1.828125000E1,-1.421250057E1,-1.700437622E2,1.716131706E2
