"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.265380300E-2,1.756875038E1,-1.106250000E1,-9.416250610E1,9.642415388E1
4.265380300E-2,1.663125038E1,-1.179375076E1,-9.403125000E1,9.621625134E1
5.265380300E-2,1.631250000E1,-1.228125095E1,-9.384375000E1,9.603945124E1
6.265380300E-2,1.601250076E1,-1.209375095E1,-9.373125458E1,9.585513590E1
7.265380300E-2,1.612500000E1,-1.183125019E1,-9.382500458E1,9.593292235E1
8.265380300E-2,1.648125076E1,-1.181250000E1,-9.369375610E1,9.586285368E1
9.265380300E-2,1.650000000E1,-1.179375076E1,-9.375000000E1,9.591874195E1
1.026538030E-1,1.651875114E1,-1.177500057E1,-9.378750610E1,9.595632381E1
1.126538030E-1,1.648125076E1,-1.183125019E1,-9.375000000E1,9.592013661E1
1.226538030E-1,1.670625114E1,-1.170000076E1,-9.360000610E1,9.579639862E1
1.326538030E-1,1.689375114E1,-1.153125000E1,-9.367500305E1,9.588208775E1
1.426538030E-1,1.704375076E1,-1.158750057E1,-9.365625000E1,9.589709471E1
1.526538030E-1,1.708125114E1,-1.177500057E1,-9.352500153E1,9.579846392E1
1.626538030E-1,1.685625076E1,-1.183125019E1,-9.375000000E1,9.598528101E1
1.726538030E-1,1.696875000E1,-1.175625038E1,-9.380625153E1,9.605082366E1
1.826538030E-1,1.691250038E1,-1.183125019E1,-9.393750000E1,9.617829826E1
1.926538030E-1,1.680000114E1,-1.181250000E1,-9.395625305E1,9.617459479E1
2.026538030E-1,1.693125153E1,-1.166250038E1,-9.410625458E1,9.632584463E1
2.126538030E-1,1.680000114E1,-1.166250038E1,-9.410625458E1,9.630286135E1
2.226538030E-1,1.668750000E1,-1.155000019E1,-9.425625610E1,9.641637296E1
2.326538030E-1,1.665000153E1,-1.151250076E1,-9.453750610E1,9.668040280E1
2.426538030E-1,1.651875114E1,-1.138125038E1,-9.427500153E1,9.638556900E1
2.526538030E-1,1.644375038E1,-1.158750057E1,-9.433125305E1,9.645233226E1
2.626538030E-1,1.657500076E1,-1.153125000E1,-9.414375305E1,9.628471642E1
2.726538030E-1,1.668750000E1,-1.134375000E1,-9.410625458E1,9.624521012E1
