MAGNET_DISTANCE=8
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.708642300E-2,9.262500763E0,-3.918750048E0,1.742062531E2,1.744963298E2
3.708642300E-2,9.168750763E0,-4.368750095E0,1.738875122E2,1.741838651E2
4.708642300E-2,8.962500572E0,-4.987500191E0,1.733062592E2,1.736095073E2
5.708642300E-2,8.943750381E0,-5.156250000E0,1.734000092E2,1.737070544E2
6.708642300E-2,9.000000000E0,-5.062500000E0,1.734750061E2,1.737820665E2
7.708642300E-2,9.112500191E0,-5.081250191E0,1.734750061E2,1.737884763E2
8.708642300E-2,9.037500381E0,-5.306250095E0,1.734000092E2,1.737164237E2
9.708642300E-2,9.225000381E0,-5.268750191E0,1.733625031E2,1.736877020E2
1.070864230E-1,9.262500763E0,-5.493750095E0,1.732687531E2,1.736030990E2
1.170864230E-1,9.262500763E0,-5.643750191E0,1.732687531E2,1.736079106E2
1.270864230E-1,9.206250191E0,-5.475000381E0,1.732875061E2,1.736182319E2
1.370864230E-1,9.206250191E0,-5.212500095E0,1.731562500E2,1.734791403E2
1.470864230E-1,9.187500000E0,-5.081250191E0,1.730250092E2,1.733432521E2
1.570864230E-1,8.887500763E0,-5.100000381E0,1.728750000E2,1.731784146E2
1.670864230E-1,8.868750572E0,-4.743750095E0,1.728000031E2,1.730924578E2
1.770864230E-1,8.700000763E0,-4.762500286E0,1.727812500E2,1.730656863E2
1.870864230E-1,8.662500381E0,-4.631250381E0,1.727250061E2,1.730040899E2
1.970864230E-1,8.437500000E0,-4.575000286E0,1.726500092E2,1.729165917E2
2.070864230E-1,8.437500000E0,-4.575000286E0,1.728750000E2,1.731412362E2
2.170864230E-1,8.437500000E0,-4.575000286E0,1.727437592E2,1.730101973E2
2.270864230E-1,8.418750763E0,-4.818750381E0,1.727250061E2,1.729971776E2
2.370864230E-1,8.531250000E0,-4.687500000E0,1.726500092E2,1.729242046E2
2.470864230E-1,8.437500000E0,-4.893750191E0,1.728000031E2,1.730750740E2
2.570864230E-1,8.212500572E0,-4.575000286E0,1.727812500E2,1.730368058E2
2.670864230E-1,8.062500000E0,-4.612500191E0,1.729125061E2,1.731618140E2
2.770864230E-1,8.231250763E0,-4.556250095E0,1.728000031E2,1.730559273E2
2.870864230E-1,8.400000572E0,-4.706250191E0,1.727062531E2,1.729744451E2
2.970864230E-1,8.531250000E0,-4.743750095E0,1.729500122E2,1.732252641E2
3.070864230E-1,8.418750763E0,-4.687500000E0,1.728937531E2,1.731620567E2
3.170864230E-1,8.381250381E0,-4.875000000E0,1.730812531E2,1.733526208E2
3.270864230E-1,8.475000381E0,-4.837500095E0,1.730812531E2,1.733561282E2
3.370864230E-1,8.606250763E0,-5.193750381E0,1.731187592E2,1.734103439E2
3.470864230E-1,8.700000763E0,-5.175000191E0,1.728375092E2,1.731336917E2
3.570864230E-1,8.793750763E0,-4.987500191E0,1.729500122E2,1.732452364E2
3.670864230E-1,8.681250572E0,-4.781250000E0,1.728937531E2,1.731775803E2
3.770864230E-1,8.681250572E0,-4.931250095E0,1.727812500E2,1.730694707E2
3.870864230E-1,8.756250381E0,-4.875000000E0,1.728937531E2,1.731839698E2
3.970864230E-1,9.131250381E0,-4.743750095E0,1.728562622E2,1.731622658E2
4.070864230E-1,9.150000572E0,-4.668750286E0,1.728750000E2,1.731799219E2
4.170864230E-1,9.037500381E0,-4.481250286E0,1.728937531E2,1.731877821E2
4.270864230E-1,9.112500191E0,-4.575000286E0,1.729875031E2,1.732877506E2
4.370864230E-1,8.831250191E0,-4.762500286E0,1.730625000E2,1.733531116E2
4.470864230E-1,8.700000763E0,-4.762500286E0,1.730062561E2,1.732903231E2
4.570864230E-1,8.587500572E0,-4.593750000E0,1.730625000E2,1.733363107E2
4.670864230E-1,8.756250381E0,-4.575000286E0,1.729500122E2,1.732319522E2
4.770864230E-1,8.681250572E0,-4.275000095E0,1.728187561E2,1.730894630E2
4.870864230E-1,8.793750763E0,-4.237500191E0,1.727812500E2,1.730567734E2
4.970864230E-1,8.887500763E0,-4.200000286E0,1.728187561E2,1.730980940E2
5.070864230E-1,8.700000763E0,-3.956250191E0,1.728000031E2,1.730641008E2
5.170864230E-1,9.037500381E0,-3.993750095E0,1.725937500E2,1.728763402E2
5.270864230E-1,9.337500572E0,-4.012500286E0,1.725750122E2,1.728740117E2
5.370864230E-1,9.300000191E0,-4.087500095E0,1.726312561E2,1.729298940E2
5.470864230E-1,9.075000763E0,-3.937500238E0,1.726875000E2,1.729706108E2
5.570864230E-1,8.943750381E0,-4.275000095E0,1.727437592E2,1.730279533E2
5.670864230E-1,8.737500191E0,-4.237500191E0,1.727625122E2,1.730352159E2
5.770864230E-1,8.831250191E0,-4.237500191E0,1.727250061E2,1.730025292E2
5.870864230E-1,8.962500572E0,-4.406250000E0,1.728937531E2,1.731819601E2
5.970864230E-1,8.850000381E0,-4.256250381E0,1.730250092E2,1.733034678E2
6.070864230E-1,8.625000000E0,-4.143750191E0,1.731375122E2,1.734017284E2
6.170864230E-1,8.793750763E0,-4.068750381E0,1.732500000E2,1.735207402E2
6.270864230E-1,8.775000572E0,-4.237500191E0,1.733437500E2,1.736174320E2
6.370864230E-1,8.812500000E0,-4.068750381E0,1.734375000E2,1.737088981E2
6.470864230E-1,8.981250763E0,-4.218750000E0,1.733250122E2,1.736088148E2
6.570864230E-1,8.906250000E0,-4.125000000E0,1.733625031E2,1.736401289E2
6.670864230E-1,8.925000191E0,-4.012500286E0,1.734187622E2,1.736946253E2
6.770864230E-1,8.981250763E0,-3.993750095E0,1.734750061E2,1.737532464E2
6.870864230E-1,8.981250763E0,-4.087500095E0,1.734750061E2,1.737554266E2
6.970864230E-1,8.793750763E0,-4.387500286E0,1.732687531E2,1.735472299E2
7.070864230E-1,8.812500000E0,-4.368750095E0,1.732875061E2,1.735664308E2
7.170864230E-1,8.700000763E0,-4.481250286E0,1.730250092E2,1.733015447E2
7.270864230E-1,8.812500000E0,-4.500000000E0,1.731562500E2,1.734387415E2
7.370864230E-1,8.812500000E0,-4.575000286E0,1.731000061E2,1.733845521E2
7.470864230E-1,8.718750000E0,-4.631250381E0,1.729125061E2,1.731941103E2
7.570864230E-1,8.568750381E0,-4.631250381E0,1.728000031E2,1.730742991E2
7.670864230E-1,8.568750381E0,-4.725000381E0,1.728562622E2,1.731330023E2
7.770864230E-1,8.718750000E0,-4.593750000E0,1.727625122E2,1.730433609E2
7.870864230E-1,8.850000381E0,-4.612500191E0,1.726687622E2,1.729569285E2
7.970864230E-1,8.756250381E0,-4.593750000E0,1.730250092E2,1.733073231E2
8.070864230E-1,8.512500763E0,-4.387500286E0,1.727062531E2,1.729715661E2
8.170864230E-1,8.418750763E0,-4.387500286E0,1.725750122E2,1.728359348E2
8.270864230E-1,8.381250381E0,-4.556250095E0,1.727062531E2,1.729695193E2
8.370864230E-1,8.456250191E0,-4.575000286E0,1.726875000E2,1.729549405E2
8.470864230E-1,8.493750572E0,-4.350000381E0,1.726125031E2,1.728760901E2
8.570864230E-1,8.343750000E0,-4.331250191E0,1.727250061E2,1.729806510E2
8.670864230E-1,8.456250191E0,-4.218750000E0,1.728750000E2,1.731331038E2
8.770864230E-1,8.475000381E0,-4.275000095E0,1.727625122E2,1.730230819E2
8.870864230E-1,8.625000000E0,-4.481250286E0,1.728750000E2,1.731480230E2
8.970864230E-1,8.850000381E0,-4.556250095E0,1.730062561E2,1.732923731E2
9.070864230E-1,8.925000191E0,-4.237500191E0,1.730062561E2,1.732881320E2
9.170864230E-1,8.756250381E0,-4.275000095E0,1.729687500E2,1.732429970E2
9.270864230E-1,8.868750572E0,-4.387500286E0,1.728750000E2,1.731579352E2
9.370864230E-1,8.831250191E0,-4.443750381E0,1.728187561E2,1.731013009E2
9.470864230E-1,8.493750572E0,-4.481250286E0,1.727250061E2,1.729917719E2
9.570864230E-1,8.606250763E0,-4.462500095E0,1.725750122E2,1.728470894E2
9.670864230E-1,8.437500000E0,-4.406250000E0,1.727812500E2,1.730432512E2
9.770864230E-1,8.137500763E0,-4.537500381E0,1.728187561E2,1.730697267E2
9.870864230E-1,8.268750191E0,-4.762500286E0,1.727812500E2,1.730445434E2
9.970864230E-1,8.437500000E0,-4.706250191E0,1.730437622E2,1.733132535E2
1.007086423E0,8.343750000E0,-4.575000286E0,1.730625000E2,1.733239098E2
1.017086423E0,8.437500000E0,-4.481250286E0,1.730625000E2,1.733259990E2
1.027086423E0,8.700000763E0,-4.556250095E0,1.732125092E2,1.734906993E2
1.037086423E0,8.718750000E0,-4.500000000E0,1.733250122E2,1.736024955E2
1.047086423E0,8.775000572E0,-4.668750286E0,1.732500000E2,1.735348967E2
1.057086423E0,9.187500000E0,-4.668750286E0,1.731375122E2,1.734439550E2
1.067086423E0,9.168750763E0,-4.650000095E0,1.729875031E2,1.732927139E2
1.077086423E0,9.168750763E0,-4.687500000E0,1.728000031E2,1.731065559E2
1.087086423E0,9.262500763E0,-4.762500286E0,1.726500092E2,1.729638719E2
1.097086423E0,9.056250572E0,-4.987500191E0,1.727437592E2,1.730528739E2
1.107086423E0,8.981250763E0,-4.950000286E0,1.724812622E2,1.727858535E2
1.117086423E0,8.943750381E0,-5.081250191E0,1.725187531E2,1.728251426E2
1.127086423E0,8.906250000E0,-4.856250286E0,1.725937500E2,1.728916048E2
1.137086423E0,8.718750000E0,-4.743750095E0,1.725750122E2,1.728602170E2
1.147086423E0,8.700000763E0,-4.931250095E0,1.725187531E2,1.728083545E2
1.157086423E0,8.831250191E0,-4.893750191E0,1.727062531E2,1.730011260E2
1.167086423E0,8.700000763E0,-4.856250286E0,1.730812531E2,1.733677979E2
1.177086423E0,9.056250572E0,-4.650000095E0,1.729312592E2,1.732306514E2
1.187086423E0,8.981250763E0,-4.575000286E0,1.731187592E2,1.734119323E2
1.197086423E0,9.075000763E0,-4.462500095E0,1.731375122E2,1.734326027E2
1.207086423E0,9.281250000E0,-4.462500095E0,1.730812531E2,1.733873573E2
1.217086423E0,9.487500191E0,-4.256250381E0,1.730812531E2,1.733933346E2
1.227086423E0,9.412500381E0,-4.200000286E0,1.733062592E2,1.736124841E2
1.237086423E0,9.225000381E0,-4.200000286E0,1.731750031E2,1.734713876E2
1.247086423E0,9.375000000E0,-4.312500000E0,1.729875031E2,1.732950215E2
1.257086423E0,9.262500763E0,-4.275000095E0,1.732875061E2,1.735875264E2
1.267086423E0,9.412500381E0,-4.462500095E0,1.731750031E2,1.734880133E2
1.277086423E0,9.393750191E0,-4.406250000E0,1.728750000E2,1.731860941E2
1.287086423E0,9.225000381E0,-4.275000095E0,1.728187561E2,1.731175864E2
1.297086423E0,9.056250572E0,-4.593750000E0,1.728937531E2,1.731917090E2
1.307086423E0,9.018750191E0,-4.537500381E0,1.728750000E2,1.731695481E2
1.317086423E0,8.981250763E0,-4.537500381E0,1.726875000E2,1.729804163E2
1.327086423E0,8.850000381E0,-4.425000191E0,1.726875000E2,1.729707368E2
1.337086423E0,8.775000572E0,-4.331250191E0,1.724812622E2,1.727586356E2
1.347086423E0,8.512500763E0,-4.293750286E0,1.722937622E2,1.725573512E2
1.357086423E0,8.400000572E0,-4.518750191E0,1.726125031E2,1.728758379E2
1.367086423E0,8.400000572E0,-4.556250095E0,1.725562592E2,1.728206643E2
1.377086423E0,8.456250191E0,-4.406250000E0,1.726312561E2,1.728944007E2
1.387086423E0,8.418750763E0,-4.275000095E0,1.725937500E2,1.728518254E2
1.397086423E0,8.418750763E0,-4.275000095E0,1.727812500E2,1.730390457E2
1.407086423E0,8.418750763E0,-4.500000000E0,1.727250061E2,1.729885924E2
1.417086423E0,8.325000763E0,-4.725000381E0,1.728562622E2,1.731211098E2
1.427086423E0,8.512500763E0,-4.631250381E0,1.730812531E2,1.733523329E2
1.437086423E0,8.625000000E0,-4.500000000E0,1.729500122E2,1.732234030E2
1.447086423E0,8.531250000E0,-4.237500191E0,1.731375122E2,1.733993563E2
1.457086423E0,8.662500381E0,-4.275000095E0,1.730625000E2,1.733318881E2
1.467086423E0,8.793750763E0,-4.312500000E0,1.729500122E2,1.732271181E2
1.477086423E0,8.887500763E0,-4.312500000E0,1.728937531E2,1.731757349E2
1.487086423E0,8.943750381E0,-4.087500095E0,1.731000061E2,1.733790946E2
1.497086423E0,9.075000763E0,-3.956250191E0,1.729687500E2,1.732518284E2
1.507086423E0,9.150000572E0,-3.956250191E0,1.730062561E2,1.732932171E2
1.517086423E0,9.187500000E0,-4.050000191E0,1.731000061E2,1.733909593E2
1.527086423E0,9.468750000E0,-4.237500191E0,1.729687500E2,1.732795490E2
1.537086423E0,9.318750381E0,-4.218750000E0,1.730250092E2,1.733271207E2
1.547086423E0,9.281250000E0,-4.331250191E0,1.732687531E2,1.735712019E2
1.557086423E0,9.187500000E0,-4.368750095E0,1.732687531E2,1.735671539E2
1.567086423E0,9.168750763E0,-4.387500286E0,1.733250122E2,1.736227981E2
1.577086423E0,9.168750763E0,-4.387500286E0,1.732687531E2,1.735666354E2
1.587086423E0,9.112500191E0,-4.368750095E0,1.731562500E2,1.734508880E2
1.597086423E0,9.131250381E0,-4.087500095E0,1.732312622E2,1.735199055E2
1.607086423E0,9.000000000E0,-4.218750000E0,1.730625000E2,1.733477048E2
1.617086423E0,8.887500763E0,-4.106250286E0,1.732687531E2,1.735451231E2
1.627086423E0,8.812500000E0,-3.881250143E0,1.730250092E2,1.732927525E2
1.637086423E0,8.943750381E0,-3.768750191E0,1.730062561E2,1.732782698E2
1.647086423E0,9.075000763E0,-3.956250191E0,1.727250061E2,1.730084833E2
1.657086423E0,8.962500572E0,-3.937500238E0,1.726500092E2,1.729273142E2
1.667086423E0,9.000000000E0,-3.937500238E0,1.728000031E2,1.730790136E2
1.677086423E0,9.037500381E0,-4.143750191E0,1.726125031E2,1.728985925E2
1.687086423E0,9.112500191E0,-4.275000095E0,1.727812500E2,1.730741854E2
1.697086423E0,9.131250381E0,-4.500000000E0,1.725187531E2,1.728188355E2
1.707086423E0,9.337500572E0,-4.537500381E0,1.725750122E2,1.728869939E2
1.717086423E0,9.300000191E0,-4.537500381E0,1.724625092E2,1.727726714E2
1.727086423E0,9.243750572E0,-4.293750286E0,1.724812622E2,1.727821433E2
1.737086423E0,9.431250572E0,-4.237500191E0,1.725937500E2,1.729031736E2
1.747086423E0,9.450000763E0,-4.256250381E0,1.724062500E2,1.727174954E2
1.757086423E0,9.412500381E0,-4.256250381E0,1.723125000E2,1.726218656E2
1.767086423E0,9.412500381E0,-4.256250381E0,1.722187500E2,1.725282837E2
1.777086423E0,9.581250191E0,-4.181250095E0,1.721437531E2,1.724608794E2
1.787086423E0,9.318750381E0,-4.181250095E0,1.722000122E2,1.725026555E2
1.797086423E0,9.318750381E0,-4.275000095E0,1.723500061E2,1.726546824E2
1.807086423E0,9.243750572E0,-4.368750095E0,1.723500061E2,1.726529974E2
1.817086423E0,9.187500000E0,-4.350000381E0,1.723125000E2,1.726120804E2
1.827086423E0,9.131250381E0,-4.275000095E0,1.722375031E2,1.725323530E2
1.837086423E0,9.093750000E0,-4.143750191E0,1.725187531E2,1.728079486E2
1.847086423E0,9.093750000E0,-3.956250191E0,1.726500092E2,1.729345942E2
1.857086423E0,9.018750191E0,-3.956250191E0,1.725937500E2,1.728744987E2
1.867086423E0,9.206250191E0,-4.050000191E0,1.725187531E2,1.728116828E2
