MAGNET_DISTANCE=10
DELAY=5
"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.262277400E-2,1.368750095E0,1.730625153E1,-1.923750114E1,2.591256971E1
3.262277400E-2,1.706250072E0,1.644375038E1,-1.980000114E1,2.579434553E1
4.262277400E-2,1.500000000E0,1.663125038E1,-2.023125076E1,2.623265135E1
5.262277400E-2,1.425000072E0,1.638750076E1,-2.085000038E1,2.655754737E1
6.262277400E-2,1.443750024E0,1.597500038E1,-2.113125038E1,2.652950799E1
7.262277400E-2,1.293750048E0,1.584375095E1,-2.113125038E1,2.644291921E1
8.262277400E-2,1.031250000E0,1.546875095E1,-2.154375076E1,2.654202196E1
9.262277400E-2,9.187500477E-1,1.533750057E1,-2.173125076E1,2.661447511E1
1.026227740E-1,7.875000238E-1,1.498125076E1,-2.216250038E1,2.676255694E1
1.126227740E-1,4.312500060E-1,1.485000038E1,-2.248125076E1,2.694652341E1
1.226227740E-1,3.562500179E-1,1.449375057E1,-2.253750038E1,2.679803432E1
1.326227740E-1,2.812500000E-1,1.430625057E1,-2.238750076E1,2.656968380E1
1.426227740E-1,-1.125000045E-1,1.411875057E1,-2.253750038E1,2.659493744E1
1.526227740E-1,-1.500000060E-1,1.385625076E1,-2.268750000E1,2.658459782E1
1.626227740E-1,-2.812500000E-1,1.389375019E1,-2.248125076E1,2.642956738E1
1.726227740E-1,-4.312500060E-1,1.380000019E1,-2.248125076E1,2.638243009E1
1.826227740E-1,-6.937500238E-1,1.370625019E1,-2.235000038E1,2.622718247E1
1.926227740E-1,-7.875000238E-1,1.353750038E1,-2.235000038E1,2.614204640E1
2.026227740E-1,-1.087500095E0,1.321875095E1,-2.248125076E1,2.610219663E1
2.126227740E-1,-1.350000024E0,1.308750057E1,-2.285625076E1,2.637258748E1
2.226227740E-1,-1.537500024E0,1.303125095E1,-2.310000038E1,2.656666003E1
2.326227740E-1,-1.818750024E0,1.275000095E1,-2.328750038E1,2.661161495E1
2.426227740E-1,-1.743750095E0,1.254375076E1,-2.362500000E1,2.680535343E1
2.526227740E-1,-1.950000048E0,1.230000019E1,-2.385000038E1,2.690566898E1
2.626227740E-1,-1.875000119E0,1.205625057E1,-2.415000153E1,2.705718716E1
2.726227740E-1,-1.931250095E0,1.162500000E1,-2.439375114E1,2.709105843E1
2.826227740E-1,-2.025000095E0,1.149375057E1,-2.458125114E1,2.721111603E1
2.926227740E-1,-2.175000191E0,1.096875000E1,-2.480625153E1,2.721018591E1
3.026227740E-1,-2.081250191E0,1.051875019E1,-2.476875114E1,2.699012303E1
3.126227740E-1,-2.175000191E0,1.014375019E1,-2.506875038E1,2.713058310E1
3.226227740E-1,-2.400000095E0,9.618750572E0,-2.520000076E1,2.707988924E1
3.326227740E-1,-2.381250143E0,9.262500763E0,-2.536875153E1,2.711158104E1
3.426227740E-1,-2.625000000E0,8.962500572E0,-2.551875114E1,2.717395263E1
3.526227740E-1,-2.625000000E0,8.775000572E0,-2.555625153E1,2.714798799E1
3.626227740E-1,-2.718750000E0,8.475000381E0,-2.596875191E1,2.745165402E1
3.726227740E-1,-2.587500095E0,8.437500000E0,-2.583750153E1,2.730316920E1
3.826227740E-1,-2.400000095E0,8.268750191E0,-2.595000076E1,2.734108209E1
3.926227740E-1,-2.268750191E0,8.193750381E0,-2.615625191E1,2.750335046E1
4.026227740E-1,-2.081250191E0,8.231250763E0,-2.625000191E1,2.758890523E1
4.126227740E-1,-1.912500024E0,8.118750572E0,-2.619375038E1,2.748971310E1
4.226227740E-1,-1.668750048E0,7.893750191E0,-2.647500038E1,2.767709638E1
4.326227740E-1,-1.425000072E0,7.875000477E0,-2.683125114E1,2.799932670E1
4.426227740E-1,-1.143750072E0,8.100000381E0,-2.685000038E1,2.806849998E1
4.526227740E-1,-1.387500048E0,8.400000572E0,-2.694375038E1,2.825687263E1
4.626227740E-1,-1.556250095E0,9.018750191E0,-2.709375191E1,2.859774749E1
4.726227740E-1,-1.631250024E0,9.881250381E0,-2.683125114E1,2.863941556E1
4.826227740E-1,-2.062500000E0,1.083750057E1,-2.668125153E1,2.887203678E1
4.926227740E-1,-2.362500191E0,1.188750076E1,-2.681250191E1,2.942455335E1
5.026227740E-1,-2.775000095E0,1.320000076E1,-2.656875038E1,2.979662972E1
