"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.840578400E-2,2.013750076E1,3.562500238E0,1.824375153E1,2.740519686E1
2.840578400E-2,2.173125076E1,3.431250095E0,1.824375153E1,2.858067891E1
3.840578400E-2,2.175000000E1,3.187500238E0,1.792500114E1,2.836420850E1
4.840578400E-2,2.135625076E1,3.525000095E0,1.788750076E1,2.807984608E1
5.840578400E-2,2.148750114E1,3.543750048E0,1.781250000E1,2.813460549E1
6.840578400E-2,2.146875000E1,3.318750143E0,1.805625153E1,2.824800078E1
7.840578400E-2,2.152500153E1,3.300000191E0,1.805625153E1,2.828858270E1
8.840578400E-2,2.135625076E1,3.225000143E0,1.792500114E1,2.806769920E1
9.840578400E-2,2.152500153E1,3.262500048E0,1.781250000E1,2.812925085E1
1.084057840E-1,2.124375153E1,3.318750143E0,1.786875153E1,2.795717014E1
1.184057840E-1,2.115000153E1,3.468750238E0,1.803750038E1,2.801260810E1
1.284057840E-1,2.124375153E1,3.431250095E0,1.790625000E1,2.799471817E1
1.384057840E-1,2.116875076E1,3.300000191E0,1.813125038E1,2.806685324E1
1.484057840E-1,2.118750000E1,3.393750191E0,1.786875153E1,2.792346643E1
1.584057840E-1,2.109375000E1,3.300000191E0,1.773750114E1,2.775707544E1
1.684057840E-1,2.120625114E1,3.281250238E0,1.770000076E1,2.781657272E1
1.784057840E-1,2.130000114E1,3.206250191E0,1.758750153E1,2.780809772E1
1.884057840E-1,2.131875038E1,3.168750048E0,1.740000153E1,2.770000267E1
1.984057840E-1,2.116875076E1,3.018750191E0,1.726875114E1,2.748524382E1
2.084057840E-1,2.131875038E1,2.962500095E0,1.743750000E1,2.770075686E1
2.184057840E-1,2.152500153E1,3.093750238E0,1.730625153E1,2.779214499E1
2.284057840E-1,2.146875000E1,3.206250191E0,1.732500076E1,2.777306102E1
2.384057840E-1,2.150625038E1,3.337500095E0,1.745625114E1,2.789943398E1
2.484057840E-1,2.165625000E1,3.393750191E0,1.764375114E1,2.813916592E1
2.584057840E-1,2.158125114E1,3.206250191E0,1.775625038E1,2.813031939E1
2.684057840E-1,2.158125114E1,3.150000095E0,1.781250000E1,2.815951097E1
2.784057840E-1,2.186250114E1,3.206250191E0,1.786875153E1,2.841727076E1
2.884057840E-1,2.193750000E1,3.112500191E0,1.781250000E1,2.842932852E1
2.984057840E-1,2.160000038E1,3.206250191E0,1.768125153E1,2.809745028E1
3.084057840E-1,2.184375000E1,3.112500191E0,1.781250000E1,2.835704900E1
3.184057840E-1,2.205000114E1,2.850000143E0,1.775625038E1,2.845363736E1
3.284057840E-1,2.190000153E1,2.831250191E0,1.771875000E1,2.831219077E1
3.384057840E-1,2.184375000E1,3.112500191E0,1.781250000E1,2.835704900E1
3.484057840E-1,2.175000000E1,3.150000095E0,1.786875153E1,2.832449967E1
3.584057840E-1,2.161875153E1,3.300000191E0,1.775625038E1,2.816992805E1
3.684057840E-1,2.150625038E1,3.318750143E0,1.764375114E1,2.801490429E1
3.784057840E-1,2.163750076E1,3.225000143E0,1.749375153E1,2.801095157E1
3.884057840E-1,2.146875000E1,3.262500048E0,1.753125000E1,2.790870580E1
3.984057840E-1,2.116875076E1,3.675000191E0,1.741875076E1,2.765925728E1
4.084057840E-1,2.116875076E1,3.712500095E0,1.738125038E1,2.764066806E1
4.184057840E-1,2.143125153E1,3.656250238E0,1.745625114E1,2.788166802E1
4.284057840E-1,2.148750114E1,3.450000048E0,1.764375114E1,2.801637307E1
4.384057840E-1,2.165625000E1,3.337500095E0,1.777500153E1,2.821493842E1
4.484057840E-1,2.145000076E1,3.150000095E0,1.777500153E1,2.803525838E1
4.584057840E-1,2.146875000E1,3.281250238E0,1.777500153E1,2.806464874E1
4.684057840E-1,2.130000114E1,3.300000191E0,1.779375076E1,2.794991263E1
4.784057840E-1,2.145000076E1,3.206250191E0,1.790625000E1,2.812501310E1
4.884057840E-1,2.146875000E1,3.131250143E0,1.805625153E1,2.822658628E1
4.984057840E-1,2.120625114E1,3.262500048E0,1.777500153E1,2.786215486E1
5.084057840E-1,2.105625153E1,3.525000095E0,1.762500000E1,2.768450792E1
5.184057840E-1,2.100000000E1,3.637500048E0,1.764375114E1,2.766827355E1
5.284057840E-1,2.113125038E1,4.050000191E0,1.770000076E1,2.786076580E1
5.384057840E-1,2.115000153E1,3.993750095E0,1.785000038E1,2.796238756E1
5.484057840E-1,2.122500038E1,3.881250143E0,1.779375076E1,2.796752242E1
5.584057840E-1,2.124375153E1,3.900000095E0,1.786875153E1,2.803211124E1
5.684057840E-1,2.124375153E1,3.900000095E0,1.786875153E1,2.803211124E1
5.784057840E-1,2.128125000E1,3.768750191E0,1.801875114E1,2.813841631E1
5.884057840E-1,2.154375076E1,3.618750095E0,1.777500153E1,2.816343780E1
5.984057840E-1,2.161875153E1,3.393750191E0,1.786875153E1,2.825208380E1
6.084057840E-1,2.165625000E1,3.243750095E0,1.807500076E1,2.839402633E1
6.184057840E-1,2.156250000E1,3.150000095E0,1.835625076E1,2.849238230E1
6.284057840E-1,2.146875000E1,3.206250191E0,1.807500076E1,2.824699841E1
6.384057840E-1,2.158125114E1,3.187500238E0,1.813125038E1,2.836640265E1
6.484057840E-1,2.163750076E1,3.150000095E0,1.800000000E1,2.832143958E1
6.584057840E-1,2.163750076E1,3.056250095E0,1.800000000E1,2.831116571E1
6.684057840E-1,2.161875153E1,3.262500048E0,1.822500038E1,2.846339690E1
6.784057840E-1,2.141250038E1,3.562500238E0,1.809375000E1,2.825898741E1
6.884057840E-1,2.143125153E1,3.618750095E0,1.775625038E1,2.806560746E1
6.984057840E-1,2.158125114E1,3.581250191E0,1.753125000E1,2.803427332E1
7.084057840E-1,2.171250153E1,3.581250191E0,1.794375038E1,2.839429966E1
7.184057840E-1,2.152500153E1,3.487500191E0,1.803750038E1,2.829911250E1
7.284057840E-1,2.161875153E1,3.750000238E0,1.803750038E1,2.840394936E1
7.384057840E-1,2.171250153E1,3.843750238E0,1.809375000E1,2.852351534E1
7.484057840E-1,2.156250000E1,3.712500095E0,1.813125038E1,2.841595157E1
7.584057840E-1,2.154375076E1,3.543750048E0,1.815000153E1,2.839214534E1
7.684057840E-1,2.152500153E1,3.618750095E0,1.843125153E1,2.856802541E1
7.784057840E-1,2.156250000E1,3.525000095E0,1.852500153E1,2.864511675E1
7.884057840E-1,2.150625038E1,3.543750048E0,1.841250038E1,2.853238757E1
7.984057840E-1,2.158125114E1,3.525000095E0,1.852500153E1,2.865923426E1
8.084057840E-1,2.150625038E1,3.393750191E0,1.854375076E1,2.859907408E1
8.184057840E-1,2.139375114E1,3.393750191E0,1.856250000E1,2.852676874E1
8.284057840E-1,2.137500000E1,3.468750238E0,1.858125114E1,2.853394027E1
8.384057840E-1,2.146875000E1,3.562500238E0,1.860000038E1,2.862793476E1
8.484057840E-1,2.131875038E1,3.468750238E0,1.848750114E1,2.843077636E1
8.584057840E-1,2.118750000E1,3.600000143E0,1.835625076E1,2.826344104E1
8.684057840E-1,2.126250076E1,3.637500048E0,1.813125038E1,2.817920484E1
8.784057840E-1,2.113125038E1,3.712500095E0,1.785000038E1,2.790940546E1
8.884057840E-1,2.094375038E1,3.712500095E0,1.792500114E1,2.781598467E1
8.984057840E-1,2.090625000E1,3.637500048E0,1.800000000E1,2.782629504E1
9.084057840E-1,2.096250153E1,3.543750048E0,1.785000038E1,2.775981175E1
9.184057840E-1,2.073750114E1,3.300000191E0,1.786875153E1,2.757220042E1
9.284057840E-1,2.077500153E1,3.281250238E0,1.794375038E1,2.764679854E1
9.384057840E-1,2.088750076E1,3.506250143E0,1.803750038E1,2.781964950E1
9.484057840E-1,2.085000038E1,3.506250143E0,1.818750000E1,2.788909217E1
9.584057840E-1,2.096250153E1,3.281250238E0,1.798125076E1,2.781219970E1
9.684057840E-1,2.094375038E1,3.412500143E0,1.805625153E1,2.786241297E1
